course,session,time,wait_time,student_response,specific_student,category,hint,cluster_q,question,is_cluster,code_name,collapsed_code
1B_L7,S4,00:20:51,1,Y,N,O,,N,I've made a mistake and no one is complaining - what is the mistake?,N,Other,Other
1B_L7,S4,00:41:47,1,Y,N,E,,N,Does this equation have solutions?,N,Evaluation,Evaluation
2B_L8,S2,00:04:00,3,N,N,E,,Y1,dare I define the supremum of an empty set?,Y,Evaluation,Evaluation
2B_L8,S2,00:04:06,0,Y,N,F,HQ,Y1,what would the least bound of an empty set be?,Y,Fact,Fact
2B_L8,S2,00:36:05,3,N,N,X,,Y2,somebody give me a value of epsilon?,Y,Example generation,Other
2B_L8,S2,00:36:09,0,Y,N,X,,Y2,think of a positive real number someone,Y,Example generation,Other
2A_L22,S4,00:06:43,1,N,N,U,,N,does that make sense?,N,Understanding check,Understanding check
2A_L22,S4,00:30:50,8,N,N,F,,Y1,the expected value of y^2 is equal to what?,Y,Fact,Fact
2A_L22,S4,00:30:58,5,N,N,F,,Y1,any idea?,Y,Fact,Fact
2A_L22,S4,00:31:13,0,Y,N,F,,Y1,any of you?,Y,Fact,Fact
2A_L22,S4,00:31:15,0,N,N,E,,Y2,still p?,Y,Evaluation,Evaluation
2A_L22,S4,00:31:15,1,N,N,E,,Y2,anyone for still p?,Y,Evaluation,Evaluation
2A_L22,S4,00:31:17,0,Y,N,E,,Y2,yes?,Y,Evaluation,Evaluation
3A_L11,S1,00:09:39,1,N,N,U,,Y1,did that drag it back out?,Y,Understanding check,Understanding check
3A_L11,S1,00:09:43,3,Y,N,U,,Y1,yeah?,Y,Understanding check,Understanding check
3A_L11,S1,00:16:37,2,N,N,W,,Y2,who would like to have a guess about why that map is injective?,Y,Warrant,Warrant
3A_L11,S1,00:16:43,3,N,N,W,HQ,Y2,could it be anything to do with linear independence?,Y,Warrant,Warrant
3A_L11,S1,00:29:33,3,N,N,O,,Y3,do you remember what the most important basic theorem that you learned was [in FPM]?,Y,Other,Other
3A_L11,S1,00:29:40,0,Y,N,O,,Y3,"don't be scared, I'll be interested to see what you think",Y,Other,Other
3A_L11,S1,00:30:05,4,Y,N,U,,N,"… then the order of h divides the order of g, remember that?",N,Understanding check,Understanding check
3A_L11,S1,00:44:58,0,N,N,X,,Y4,"can somebody, one person in the room, think of a basis?",Y,Example generation,Other
3A_L11,S1,00:45:01,2,N,N,X,HS,Y4,you can do it for everyone else then by what I've just said and that person shouldn't be me,Y,Example generation,Other
3A_L11,S1,00:45:07,0,Y,N,X,,Y4,can you think of a basis for R^3?,Y,Example generation,Other
3A_L11,S1,00:45:24,10,Y,N,X,,N,functions from R to R - can anyone think of a basis?,N,Example generation,Other
3A_L11,S1,00:47:47,2,N,N,X,,Y3,I need you to choose 6 numbers for me though?,Y,Example generation,Other
3A_L11,S1,00:47:54,0,N,N,X,,Y3,I need you to choose them?,Y,Example generation,Other
3A_L11,S1,00:47:54,0,Y,N,X,,Y3,6 numbers?,Y,Example generation,Other
3A_L11,S1,00:48:44,2,Y,N,F,,N,what do you think the dimension of this space is?,N,Fact,Fact
3A_L11,S2,00:22:32,1,N,N,F,,Y1,what are the units in Z?,Y,Fact,Fact
3A_L11,S2,00:22:39,0,Y,N,F,,Y1,suggestions?,Y,Fact,Fact
3A_L11,S2,00:23:04,3,N,N,F,,Y2,"the field with p elements, what are the units?",Y,Fact,Fact
3A_L11,S2,00:23:10,3,N,N,F,HS,Y2,"p is a prime, thank you, and don't look at example 3.2.7",Y,Fact,Fact
3A_L11,S2,00:23:16,1,Y,N,F,,Y2,suggestions?,Y,Fact,Fact
3A_L11,S2,00:24:41,1,Y,N,X,,N,can anyone think of a unit inside Z mod 18?,N,Example generation,Other
3A_L11,S2,00:35:01,0,N,N,E,,Y3,what about polynomials over the complex numbers?,Y,Evaluation,Evaluation
3A_L11,S2,00:35:04,1,N,N,E,,Y3,What do you think?,Y,Evaluation,Evaluation
3A_L11,S2,00:35:07,3,N,N,E,,Y3,Is the order of multiplication important?,Y,Evaluation,Evaluation
3A_L11,S2,00:35:12,1,Y,N,E,,Y3,yes or no?,Y,Evaluation,Evaluation
3A_L11,S2,00:35:18,1,Y,N,E,,N,[if you multiply two polynomials] do you get zero ever?,N,Evaluation,Evaluation
3A_L11,S2,00:35:51,1,N,N,E,,N,"a field, is it an integral domain?",N,Evaluation,Evaluation
3A_L11,S2,00:35:54,1,N,N,E,,N,is the order of multiplication important?,N,Evaluation,Evaluation
3A_L11,S2,00:35:58,1,Y,N,E,,N,can you multiply two nonzero numbers together and get zero?,N,Evaluation,Evaluation
3A_L11,S2,00:36:16,1,Y,N,E,,N,"2 by 2 matrices, is the order of multiplication important?",N,Evaluation,Evaluation
3A_L11,S2,00:36:23,1,Y,N,E,,N,does it have zero divisors?,N,Evaluation,Evaluation
3A_L11,S2,00:43:57,0,Y,N,X,,N,nutella goes where?,N,Example generation,Other
3A_L11,S2,00:44:07,1,Y,N,X,,N,who wants to do something with chocolate?,N,Example generation,Other
3A_L11,S2,00:44:15,3,N,N,X,,N,where do you want coco pops to go?,N,Example generation,Other
2A_L22,S2,00:07:35,1,N,N,U,,N,does that make sense?,N,Understanding check,Understanding check
2A_L22,S2,00:20:10,1,N,N,U,,N,are we clear about independence after that example?,N,Understanding check,Understanding check
2A_L22,S2,00:21:01,0,N,N,U,,Y1,is that alright?,Y,Understanding check,Understanding check
2A_L22,S2,00:21:03,1,Y,N,U,,Y1,is that clearer now?,Y,Understanding check,Understanding check
2A_L22,S2,00:28:59,2,N,N,U,,Y2,everyone with me so far?,Y,Understanding check,Understanding check
2A_L22,S2,00:29:03,0,N,N,U,,Y2,yeah?,Y,Understanding check,Understanding check
2A_L22,S2,00:29:03,1,N,N,U,,Y2,you alright with that?,Y,Understanding check,Understanding check
2A_L22,S2,00:33:13,1,N,N,U,,N,with me?,N,Understanding check,Understanding check
2A_L22,S2,00:34:58,0,N,N,F,,Y3,what do we expect the answer to be? [referring to the expected value of a binomial random variable],Y,Fact,Fact
2A_L22,S2,00:35:00,1,Y,N,F,,Y3,[breaks down the question as a statement] what do you think the expected number of successes in total is?,Y,Fact,Fact
2A_L22,S2,00:43:50,3,N,N,F,,Y4,whats the expected number of rolls [of a dice] that will take [to get a six]?,Y,Fact,Fact
2A_L22,S2,00:44:08,4,N,N,F,HQ,Y4,"how many rolls do you expect, in the technical sense, that it takes until your first six - including rolling your first six?",Y,Fact,Fact
2A_L22,S2,00:44:19,1,N,N,F,,Y4,any thoughts on that?,Y,Fact,Fact
2A_L22,S2,00:44:20,6,Y,N,F,,Y4,any wild guesses?,Y,Fact,Fact
2A_L22,S2,00:44:32,0,Y,Y,A,,N,you what sorry?,N,Admin,Admin
2A_L22,S2,00:44:35,0,Y,Y,A,,N,three?,N,Admin,Admin
2A_L22,S2,00:44:37,0,Y,Y,W,,N,[have you chosen that number] because its half of 6?,N,Warrant,Warrant
2A_L22,S2,00:44:41,1,Y,N,F,,N,any other views?,N,Fact,Fact
2A_L22,S2,00:44:46,0,N,Y,A,,Y5,oh you want to say 1/6?,Y,Admin,Admin
2A_L22,S2,00:44:47,1,Y,Y,W,,Y5,Because theres kind of 1/6 chance each time?,Y,Warrant,Warrant
2A_L22,S2,00:48:03,0,N,N,U,,Y6,yup?,Y,Understanding check,Understanding check
2A_L22,S2,00:48:03,1,N,N,U,,Y6,with me?,Y,Understanding check,Understanding check
3B_L12,S1,00:07:56,2,N,N,U,,N,everyone happy with that?,N,Understanding check,Understanding check
3B_L12,S1,00:25:38,3,N,N,U,,N,any questions?,N,Understanding check,Understanding check
3B_L12,S1,00:32:54,3,N,N,U,,N,that make sense?,N,Understanding check,Understanding check
3B_L12,S1,00:34:57,2,Y,N,W,,N,why?,N,Warrant,Warrant
3B_L12,S2,00:12:38,2,N,N,U,,N,does that make sense to the 38 doubters?,N,Understanding check,Understanding check
3B_L12,S2,00:29:06,4,N,N,U,,N,any questions so far?,N,Understanding check,Understanding check
3B_L12,S2,00:46:01,0,Y,N,U,,N,any questions?,N,Understanding check,Understanding check
3B_L12,S2,00:46:44,0,Y,N,A,,N,"your point was [repeated students question], yeah?",N,Admin,Admin
2A_L22,S1,00:10:42,1,N,N,U,,N,is everyone ok with that now?,N,Understanding check,Understanding check
2A_L22,S1,00:18:12,3,Y,N,F,,N,whats the probability of getting an even number if you roll one D5?,N,Fact,Fact
2A_L22,S1,00:24:58,4,Y,N,W,,N,what does this have to do with the binomial distribution?,N,Warrant,Warrant
2A_L22,S1,00:26:29,2,N,N,U,,Y1,does that make sense?,Y,Understanding check,Understanding check
2A_L22,S1,00:26:31,0,N,N,U,,Y1,yeah?,Y,Understanding check,Understanding check
2A_L22,S1,00:30:04,3,N,N,F,,N,does anyone recognise the smooth yellow curve?,N,Fact,Fact
2A_L22,S1,00:39:29,0,N,N,U,,N,is that ok with everybody?,N,Understanding check,Understanding check
2A_L22,S1,00:40:40,2,N,N,U,,N,does that make sense?,N,Understanding check,Understanding check
2A_L22,S1,00:40:51,12,N,N,E,,N,and what about c)? [can c) be modelled by a binomial distribution?],N,Evaluation,Evaluation
2A_L22,S1,00:41:58,2,N,N,U,,N,is everyone happy with that?,N,Understanding check,Understanding check
1C_L15,S1,00:15:38,0,Y,N,E,,N,"Great question, what do you guys think?",N,Evaluation,Evaluation
1C_L15,S1,00:16:05,6,N,N,W,,N,Would anyone like to respond to that?,N,Warrant,Warrant
1C_L15,S1,00:16:12,1,Y,Y,A,,N,"Sorry, can you repeat the question please?",N,Admin,Admin
1C_L15,S1,00:16:28,3,N,N,W,,N,Any comments?,N,Warrant,Warrant
1C_L15,S1,00:16:41,2,N,Y,O,,N,"Yes, do you want to respond?",N,Other,Other
1C_L15,S1,00:21:42,2,Y,N,U,,N,Questions about that?,N,Understanding check,Understanding check
1C_L15,S1,00:22:03,0,Y,Y,A,,N,So you're asking about what's the difference between the two lines and the one line?,N,Admin,Admin
1C_L15,S1,00:29:22,0,N,N,U,,Y1,Yeah?,Y,Understanding check,Understanding check
1C_L15,S1,00:29:22,0,N,N,U,,Y1,Agree?,Y,Understanding check,Understanding check
1C_L15,S1,00:29:22,2,Y,N,U,,Y1,That's the definition of length that we had here?,Y,Understanding check,Understanding check
1C_L15,S1,00:29:47,1,N,N,U,,N,Agree?,N,Understanding check,Understanding check
1C_L15,S1,00:30:24,1,Y,N,F,,N,What is the correct statement?,N,Fact,Fact
1C_L15,S1,00:30:29,0,Y,Y,A,,N,Sorry?,N,Admin,Admin
1C_L15,S1,00:30:54,2,N,Y,U,,Y2,So did that kind of answer your question about what's the difference between the magnitude and the double bars?,Y,Understanding check,Understanding check
1C_L15,S1,00:31:02,0,N,N,C,,Y2,Anyone want to respond to that?,Y,Convention,Other
1C_L15,S1,00:31:02,1,N,N,C,,Y2,What's the difference here?,Y,Convention,Other
1C_L15,S1,00:31:07,2,Y,N,C,,Y2,Single bar and double bar?,Y,Convention,Other
1C_L15,S1,00:40:55,1,Y,N,U,,N,Questions?,N,Understanding check,Understanding check
1C_L15,S1,00:41:11,1,Y,Y,A,,N,What square brackets do you mean sorry?,N,Admin,Admin
1C_L15,S1,00:49:03,1,N,N,N,,Y3,What does that mean?,Y,Next step,Next step
1C_L15,S1,00:49:05,0,Y,N,F,HQ,Y3,What's the projection of something that's already on the line?,Y,Fact,Fact
1C_L15,S1,00:49:20,0,N,N,F,HQ,Y4,What does the shadow of the vector look like projecting down onto the vector?,Y,Fact,Fact
1C_L15,S1,00:49:20,1,N,N,U,,Y4,"If you're already on the vector, the shadow is itself - right?",Y,Understanding check,Understanding check
1C_L15,S1,00:51:45,2,N,N,U,,N,Yeah?,N,Understanding check,Understanding check
2B_L9,S2,00:43:31,0,N,N,E,,Y1,"Is it possible for a graph of a differentiable function, whose tangent at that point is that line, to come into that very small angle and leave it and come back again infinitely many times?",Y,Evaluation,Evaluation
2B_L9,S2,00:43:47,6,N,N,E,,Y1,is that possible?,Y,Evaluation,Evaluation
2B_L9,S2,00:43:52,7,N,N,E,,Y1,"intuitively, yes or no?",Y,Evaluation,Evaluation
2B_L9,S2,00:44:02,2,Y,N,E,,Y1,if you had to bet?,Y,Evaluation,Evaluation
2B_L9,S2,00:44:06,1,Y,Y,W,,N,why?,N,Warrant,Warrant
2B_L9,S2,00:44:19,1,Y,Y,A,,N,"so you mean this one, being flat?",N,Admin,Admin
2B_L9,S2,00:44:21,1,Y,Y,A,,N,that one?,N,Admin,Admin
2B_L9,S2,00:44:29,0,N,N,E,,Y2,anyone else?,Y,Evaluation,Evaluation
2B_L9,S2,00:44:30,1,N,N,E,,Y2,any ideas?,Y,Evaluation,Evaluation
2B_L9,S2,00:44:32,4,N,N,E,,Y2,is it possible for a differentiable function to do that and still be differentiable and still the graph has this tangent?,Y,Evaluation,Evaluation
2B_L9,S1,00:12:27,2,N,N,U,,Y1,any questions about any of these things before we start series?,Y,Understanding check,Understanding check
2B_L9,S1,00:12:33,1,N,N,U,,Y1,any questions?,Y,Understanding check,Understanding check
2B_L9,S1,00:25:54,1,Y,Y,A,,N,"sorry, say it again?",N,Admin,Admin
1B_L8,S1,00:42:45,2,Y,N,F,,N,So who recognises it?,N,Fact,Fact
1B_L8,S1,00:44:18,6,N,N,N,,Y1,Anyone confident on that one?,Y,Next step,Next step
1B_L8,S1,00:44:26,4,N,N,N,,Y1,…not so much…?,Y,Next step,Next step
1B_L8,S1,00:48:10,1,Y,N,W,,N,Why am I not {done}?,N,Warrant,Warrant
1B_L8,S3,00:38:00,1,Y,Y,A,,N,was [that students question] also yours [question]?,N,Admin,Admin
1B_L8,S4,00:05:20,1,Y,Y,A,,N,whats 0 on the third row sorry?,N,Admin,Admin
1B_L8,S4,00:05:25,1,Y,Y,A,,N,this one?,N,Admin,Admin
1A_L1,S3,00:01:16,0,N,N,U,,Y1,"Any questions before we begin, before we start today's lecture?",Y,Understanding check,Understanding check
1A_L1,S3,00:01:16,1,N,N,U,,Y1,"Any questions about what we discussed last week or about the quizzes, anything at all?",Y,Understanding check,Understanding check
1A_L1,S3,00:04:54,1,N,N,F,,Y2,2 to the power 10 is…?,Y,Fact,Fact
1A_L1,S3,00:04:54,8,Y,N,F,,Y2,Anybody?,Y,Fact,Fact
1A_L1,S3,00:35:13,1,N,N,F,HS,Y3,There's a particular phenomenon that we can invoke here.,Y,Fact,Fact
1A_L1,S3,00:35:13,1,N,N,W,,Y3,What is that?,Y,Warrant,Warrant
1A_L1,S3,00:35:13,0,Y,N,W,,Y3,What allows us to conclude here that 2 should be the answer?,Y,Warrant,Warrant
1A_L1,S3,00:35:38,0,Y,N,W,,N,"That's the intuition, yeah, but what makes that really rigorous?",N,Warrant,Warrant
1A_L1,S3,00:35:50,4,N,N,F,,Y4,So what does l'Hospital's rule say?,Y,Fact,Fact
1A_L1,S3,00:35:50,1,N,N,F,,Y4,What does l'Hospital's rule say?,Y,Fact,Fact
1A_L1,S3,00:35:50,2,Y,N,F,,Y4,Anybody?,Y,Fact,Fact
1A_L1,S4,00:03:45,3,N,N,U,,N,"Before we begin though, any questions?",N,Understanding check,Understanding check
1A_L1,S4,00:21:49,0,Y,N,X,,N,"Can somebody give me an example of a function that is differentiable everywhere whose derivative is zero at some point, but where the zero is actually not a local or global extremum?",N,Example generation,Other
1A_L1,S4,00:27:40,0,N,N,N,,Y5,The logarithm of x^2+3 - what can we say about that?,Y,Next step,Next step
1A_L1,S4,00:27:40,3,N,N,E,,Y5,Will that guy ever be zero?,Y,Evaluation,Evaluation
1A_L1,S4,00:27:40,1,N,N,E,,Y5,Yes or no?,Y,Evaluation,Evaluation
1A_L1,S4,00:27:49,4,Y,N,W,,Y5,Why will it never be zero?,Y,Warrant,Warrant
1A_L1,S4,00:28:02,0,Y,Y,W,HS,N,That's not quite true - there's one number for which the logarithm is zero.,N,Warrant,Warrant
1A_L1,S4,00:28:29,2,Y,N,E,,N,What about e^(-x)? [Will it ever be zero],N,Evaluation,Evaluation
1A_L1,S4,00:29:17,1,N,N,N,,Y6,Inside the domain we have a closed interval from 0 to 1 where the function is zero at both endpoints - so what can you say now?,Y,Next step,Next step
1A_L1,S4,00:29:17,2,Y,N,N,HQ,Y6,Which theorem can you use now?,Y,Next step,Next step
1A_L1,S4,00:30:16,5,Y,N,N,,N,Which theorem can we use here?,N,Next step,Next step
1A_L1,S4,00:34:40,1,N,N,W,,Y7,Why is this always true?,Y,Warrant,Warrant
1A_L1,S4,00:34:40,5,Y,N,W,HQ,Y7,Which theorem can we invoke?,Y,Warrant,Warrant
1A_L1,S4,00:40:28,0,N,N,W,,Y8,Why can you conclude that?,Y,Warrant,Warrant
1A_L1,S4,00:40:28,9,N,N,W,HQ,Y8,Which theorem will you bring into play here?,Y,Warrant,Warrant
1A_L1,S4,00:42:48,3,Y,N,N,,N,What theorem can I now invoke?,N,Next step,Next step
1A_L1,S4,00:45:47,0,N,N,W,,Y9,Why is it true?,Y,Warrant,Warrant
1A_L1,S4,,0,Y,N,W,HQ,Y9,Which theorem tells us that this is true here?,Y,Warrant,Warrant
1A_L1,S4,00:49:01,2,N,N,W,,Y10,Why is that?,Y,Warrant,Warrant
1A_L1,S4,00:49:01,1,N,N,W,,Y10,What can you say here?,Y,Warrant,Warrant
1A_L1,S4,00:49:01,2,N,N,W,HQ,Y10,What is the theorem that fixes this?,Y,Warrant,Warrant
3A_L11,S3,00:15:28,1,N,N,X,,Y1,Who's got an example where one of these axioms fails?,Y,Example generation,Other
3A_L11,S3,00:15:28,0,Y,N,X,,Y1,Be brave.,Y,Example generation,Other
3A_L11,S3,00:18:00,1,N,N,X,,Y2,"Ok, any suggestions? [for an example of a bilinear form]",Y,Example generation,Other
3A_L11,S3,00:18:00,0,Y,N,X,,Y2,Someone come up with one?,Y,Example generation,Other
3A_L11,S3,00:18:28,1,Y,N,X,,N,Another example? [of a bilinear form],N,Example generation,Other
3A_L11,S4,00:42:57,3,Y,N,O,,N,Is there anybody in this room who is from North Korea?,N,Other,Other
3B_L12,S3,00:12:09,3,N,N,U,,N,Any questions about that?,N,Understanding check,Understanding check
3B_L12,S3,00:50:17,3,N,N,U,,N,Any questions?,N,Understanding check,Understanding check
3B_L12,S4,00:29:15,1,Y,N,U,,N,Any questions?,N,Understanding check,Understanding check
3B_L12,S4,00:30:14,2,N,N,U,,N,Any other questions?,N,Understanding check,Understanding check
3C_L13,S4,00:06:20,1,N,N,N,,N,Do you have any idea how to look for solutions of this one?,N,Next step,Next step
3C_L13,S4,00:08:51,10,N,N,N,,Y1,"Using our implicit boundary condition of boundedness, what can we say?",Y,Next step,Next step
3C_L13,S4,00:08:51,3,Y,N,F,HQ,Y1,"So that's a lot of constants, we'd like to get rid of one at least - which one?",Y,Fact,Fact
3C_L13,S4,00:25:49,2,Y,N,N,,N,"So when you see this, I'm sure you feel compelled to do something, right?",N,Next step,Next step
3C_L13,S4,00:26:03,9,N,N,N,,Y1,When you see this - an integral with a derivative inside - what do you want to do?,Y,Next step,Next step
3C_L13,S4,00:26:03,1,Y,N,N,HQ,Y1,"When you see an integral, what do you want to do every time?",Y,Next step,Next step
3C_L13,S4,00:26:49,2,Y,N,N,,N,"Now you have an integral with a derivative, what do you want to do?",N,Next step,Next step
3C_L13,S4,00:29:58,9,N,N,F,,Y2,For which matrices does this happen?,Y,Fact,Fact
3C_L13,S4,00:29:58,1,N,N,F,,Y2,Which class of matrices?,Y,Fact,Fact
3C_L13,S4,00:30:23,1,N,N,U,,Y2,So that rings a bell or not?,Y,Understanding check,Understanding check
3C_L13,S4,00:30:51,0,N,N,F,,Y3,What do we see now?,Y,Fact,Fact
3C_L13,S4,00:30:51,1,Y,N,F,,Y3,What do we need from our matrix A?,Y,Fact,Fact
3C_L13,S4,00:31:40,3,Y,N,F,,N,"The eigenvalues are what? [For symmetric matrices, real]",N,Fact,Fact
3C_L13,S4,00:31:46,1,Y,N,F,,N,And the eigenvectors are what? [Orthogonal],N,Fact,Fact
3C_L13,S4,00:35:14,1,N,N,N,,Y4,And on this side what’s happening if I pull the lambda out?,Y,Next step,Next step
3C_L13,S4,00:35:14,1,Y,N,E,HQ,Y4,Do I get just lambda? [As opposed to lambda conjugate],Y,Evaluation,Evaluation
3C_L13,S4,00:47:46,0,N,N,A,,Y5,Can you watch faster?,Y,Admin,Admin
3C_L13,S4,00:47:46,0,N,N,A,,Y5,Does the sound change the pitch?,Y,Admin,Admin
3C_L13,S4,00:47:46,0,N,N,A,,Y5,Do you hear me like a mouse?,Y,Admin,Admin
3C_L13,S4,00:47:46,1,Y,N,A,,Y5,The pitch changes?,Y,Admin,Admin
2B_L8,S3,00:11:26,1,Y,N,N,,N,We have that f of n converges to a - so what next?,N,Next step,Next step
2B_L8,S3,00:11:39,0,Y,Y,A,,N,With the inequality definition?,N,Admin,Admin
2B_L8,S3,00:27:46,0,Y,Y,A,,N,What do you mean?,N,Admin,Admin
2B_L8,S3,00:28:57,2,N,N,U,,N,Any other questions on that?,N,Understanding check,Understanding check
2B_L8,S3,00:34:13,4,N,N,F,,N,So the negation of the statement that f is bounded is…?,N,Fact,Fact
2B_L8,S4,00:18:35,1,Y,Y,A,,N,What do you mean plus 4?,N,Admin,Admin
2B_L8,S4,00:34:02,11,N,N,U,,N,Any questions while I'm walking around?,N,Understanding check,Understanding check
2B_L8,S4,00:50:35,3,Y,N,F,,N,Max or min?,N,Fact,Fact
2B_L9,S3,00:00:09,0,N,N,U,,Y1,Are there any questions from last time?,Y,Understanding check,Understanding check
2B_L9,S3,00:00:09,2,N,N,U,,Y1,"Any questions from yesterday, the day before?",Y,Understanding check,Understanding check
2B_L9,S3,00:17:45,0,N,N,U,,Y2,Is that clear?,Y,Understanding check,Understanding check
2B_L9,S3,00:17:45,4,N,N,U,,Y2,Any questions about this?,Y,Understanding check,Understanding check
2B_L9,S3,00:35:02,3,N,Y,U,,Y3,Yeah?,Y,Understanding check,Understanding check
2B_L9,S3,00:35:02,0,Y,Y,U,,Y3,Ok?,Y,Understanding check,Understanding check
2B_L9,S4,00:47:18,2,N,N,U,,N,Any other questions on this?,N,Understanding check,Understanding check
2B_L10,S2,00:06:38,0,Y,N,W,,N,How can you tell that here the answer is no?,N,Warrant,Warrant
2B_L10,S2,00:07:13,8,N,N,U,,N,Any questions on that example?,N,Understanding check,Understanding check
2B_L10,S2,00:10:56,2,Y,N,N,,N,What's a good way to show that 2 sets are the same size if you're a mathematician?,N,Next step,Next step
2B_L10,S2,00:23:20,10,N,N,U,,N,Any other questions about this?,N,Understanding check,Understanding check
2B_L10,S2,00:31:50,4,N,N,N,,N,So what's that?,N,Next step,Next step
2B_L10,S2,00:31:58,4,Y,N,W,,N,Why is it E?,N,Warrant,Warrant
2B_L10,S2,00:35:28,5,N,N,N,,Y1,What do we know about the size of the orbits?,Y,Next step,Next step
2B_L10,S2,00:35:39,2,N,N,N,HQ,Y1,So the orbits of Z p acting on X have size… what?,Y,Next step,Next step
2B_L10,S2,00:35:55,7,Y,N,N,HQ,Y1,What are the possibilites here?,Y,Next step,Next step
2B_L10,S2,00:36:24,10,Y,N,N,HS,N,"Somehow we want to use that p is prime, right?",N,Next step,Next step
2B_L10,S2,00:36:57,0,Y,N,N,,N,What's the other possibility?,N,Next step,Next step
2B_L10,S2,00:37:02,12,Y,N,W,,N,So why is this?,N,Warrant,Warrant
2B_L10,S2,00:41:13,0,N,N,N,,Y2,So how big is X?,Y,Next step,Next step
2B_L10,S2,00:41:14,7,N,N,N,,Y2,What is the size of X?,Y,Next step,Next step
2B_L10,S2,00:41:22,17,N,N,N,HQ,Y2,So suppose I wanted to construct a p tuple - how many choices do I have for g1?,Y,Next step,Next step
2B_L10,S2,00:41:46,10,Y,N,N,HQ,Y2,Well let's put it this way: suppose I've chosen g1 through g p-1 to be anything at all. Can I find a g p to make that equation work?,Y,Next step,Next step
2B_L10,S2,00:42:16,13,N,N,N,HS,N,It's not quite p-1 but there's a p-1 in it,N,Next step,Next step
2B_L10,S2,00:44:21,3,N,N,W,,N,"p divides the size of X p, because?",N,Warrant,Warrant
2B_L10,S2,00:44:41,0,N,N,N,,Y3,What do we know about orbits?,Y,Next step,Next step
2B_L10,S2,00:44:46,10,N,N,N,HS,Y3,This was the theorem we proved on Tuesday,Y,Next step,Next step
2B_L10,S2,00:45:09,3,Y,N,F,HQ,Y3,"There's two general theorems about orbits: one of them is orbit-stabiliser, the other one {theorem} is that orbits do what to the set X?",Y,Fact,Fact
2B_L10,S2,00:46:15,8,N,N,W,,Y4,Why does p divide the size of X1?,Y,Warrant,Warrant
2B_L10,S2,00:46:25,5,N,N,W,HS,Y4,Here we just have an equation here that we can write down that will give this to us,Y,Warrant,Warrant
